slug,name_hi,name_en,project_status,census_1951_code,census_1951_name,census_1971_code,census_1971_name,census_1981_code,census_1981_name,census_1991_code,census_1991_name_or_status,census_2001_code,census_2001_name,census_2011_code,census_2011_name,lgd_village_code,lgd_name,lgd_gram_panchayat,status_summary,confidence,sources,notes
rampura,रामपुरा,Rampura,acquired,33,Rampura / रामपुरा,33,Rampura (inhabited),2/2/33,Rampura,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
duderiya,दुदेरिया,Duderiya,acquired,39,Duderia / दुदेरिया,44,Dooderiya (inhabited),2/2/44,Dooderiya,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
hathusar,हाथूसर,Hathusar,acquired,7,Hathusar / हाथुसर,28,Hathoosar (inhabited),2/2/28,Hathoosar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
hindor,हिन्दोर,Hindor,acquired,30,Hindor / हिन्दोर,30,Hindor (inhabited),2/2/30,Hindor,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,"A Hindor 067098 exists in Suratgarh (Ganganagar), present since 2001 code 00300200; no evidence of link."
tidasar,टिडासर,Tidasar,acquired,,,,,,,,,,,,,,,,"UNRESOLVED: no village of this name in Census 1951-1981 lists of Lunkaransar, nor in LGD 2026 (any Bikaner sub-district); probably a dhani/hamlet name inside one of the 32 merged villages",n/a,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
birmana,बिरमाणा,Birmana,acquired_partial,71,Birmana / बीरमाना,80,Beermana (inhabited),2/2/80,Beermana,(none),ABSENT from 1991 list (no row anywhere in Rajasthan),00513700,Beermana (2001 DCH gives no 1991 code),069240,Beermana,69240,Birmana,Khokhrana (GP 36111),"survives; area 1,639 ha (1971/1981) -> 1,542 ha (2001/2011): about 97 ha less, consistent with a small strip going to the range",medium (area arithmetic),1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
likhmisar,लिखमीसर,Likhmisar,acquired,29,Lakhmi Narainsar / लखमीनारायनसर,42,Likhmisar (inhabited),2/2/42,Likhmisar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,"A Likhmisar 065214 exists in Raisinghnagar (Ganganagar), 2001 code 00112400; no evidence of link."
kumbhasar,कुम्भासर,Kumbhasar,acquired,37,Khumbhasar / कुम्भासर,43,Kumbhasar (inhabited),2/2/43,Kumbhasar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,Different Kumbhasar 069630 exists in Nokha; not this village.
kachrana,कचराणा,Kachrana,acquired,,,,,,,,,,,,,,,,"UNRESOLVED: no village of this name in Census 1951-1981 lists of Lunkaransar, nor in LGD 2026 (any Bikaner sub-district); probably a dhani/hamlet name inside one of the 32 merged villages",n/a,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
raimalwali,रायमलवाली,Raimalwali,acquired,21,Raimalwali / रायमल वाली,16,Raimalwali @ Reeoa (inhabited),2/2/16,Raimalwali @ Reena,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
nakrasar,नाकरासर,Nakrasar,acquired,28,Nakrasar / नाकरासर,46,Nakrasar (inhabited),2/2/46,Nakrasar,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
jagatsinghpura,जगतसिंहपुरा,Jagatsinghpura,acquired,40 (unpopulated),Jagat Singhpura,40,Jagatsinghpura (inhabited),2/2/40,Jagatsinghpura,0013,"merged: MAHAJAN FIELD FIRING RANGE (136,411 ha, 0 pop)",00509900,merged: Mahajan Fieldfiring Range,069202,"merged: Mahajan Fieldfiring Range (136,406 ha)",69202,merged: Mahajan Fieldfiring Range,Mahajan (GP 36115),"whole revenue village merged into Mahajan Field Firing Range between 1981 and 1991; no separate code in 1991, 2001, 2011 or LGD",high,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25,
phuleji (not in project list),फूलेजी,Phooleji / Phuleji,proposed_then_excluded,34,"Phuleji / फलेजी (7,519 ac, 231 persons)",34,"Phooleji (7,519 ac = 3,043 ha)",2/2/34,"Phooleji (3,025 ha, 811 persons)",0015,"PHOOLEJI (1,946.6 ha)",00510000,"Phooleji (area printed 3,046 ha)",069203,"Phooleji (1,945.87 ha)",69203,Phuleji,Chakjohad (GP 36099),"Lok Sabha USQ 9267 (7 May 1986): Government first meant to acquire 34 villages but decided to exclude Phuleji. Census area fell by about 1,078 ha between 1981 and 1991 (3,025 -> 1,946.6 ha; 2011: 1,945.87 ha), so part of its land appears to have gone into the range anyway.",medium,1951 DCH Bikaner Pt II (NADA 28566); 1971 DCH Pt X-A&B (NADA 28480); 1981 DCH Pt XIII-A&B (NADA 29013); 1991 PCA Rural Rajasthan (NADA 43577); 2001 DCH Bikaner (NADA 43862) alphabetical list p.126 gives 1991 code 0013 for the range; 2011 DCH Pt XII-B (NADA 1023) + Admin Atlas Rajasthan 2011 p.113 (NADA 45); LGD villageEntity API 2026-09-25; research/leads/files/legal/LS_1986-05-07_USQ9267_Land_Acquisition_FFR_Bikaner_Phuleji.pdf,"Area check: 32 merged entries (135,171 ha, 1981) + Phooleji loss (1,078.4) + Birmana loss (97) = 136,346 ha vs range 136,411 ha (1991) / 136,406 ha (2011): difference about 60-65 ha (0.05%)."
