location_code_1981,name_1981,area_hectares,persons_1981,households_1981,status_1981,amenities_raw_ocr,vd_pdf_page,pca_pdf_page,fate_after_1981
2/2/150,Kalkal Muklera,1450,25,5,inhabited,25(5) -(5-10) -(5-10) -(5-10) -(5-10) -(5-10),166,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/151,Sahajrasar,8100,1959,308,inhabited,"1,959(308) P(I)M(l) H(I)D(l) W,TK,O PO -(10+)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/152,Basi Charanan,1947,,,uninhabited,"Un-Inhabited <1, aH'n~",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/153,Bhanipura,1452,,,uninhabited,"Un-Inhabited <l\ m,n<::",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/154,Adsar,4210,666,108,inhabited,"666(108) P(I) -(5-10) W,TK -(5-10) BS",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/155,Rawansar,1682,460,63,inhabited,460(63) P(l) -(5-10) W PO -(5--10),168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/156,Bas Karnisar,308,96,12,inhabited,96(12) -(5-10) -(5-10) W -(-5) -(5-10),168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/157,Nathoosar,2243,317,47,inhabited,"317(47) -(10+) -(10+) W,TK, -(10+) -(10+)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/158,Chandsar,1027,116,20,inhabited,"116(20} -(5-10) -(10+) W,TK -(-5) -(10+)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/159,Nakodesar,2710,607,84,inhabited,"607(84) P(l) -(10+) W,TK -(5-10) -(5-10)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/160,Khapharsar,1078,169,18,inhabited,"169(18) -(-5) -(10+) W,TK -(5-10) -(5-10)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/161,Koobiya,1220,110,16,inhabited,"110(16) -(5-10) PHS(I) W,TK -(10+) -(10+)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/162,Garabdesar,9001,1566,259,inhabited,"1,566(259) P(l)M(I) -(10+) T,W,TK PO BS",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/163,Kaloo,13319,5893,969,inhabited,"5,893(969) P(l)M(I)H(I) HC(I)PHS(I) T,W,TK, PO, Phone BS",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/164,Rajpura Hudan,3597,800,122,inhabited,"800(122) P(I) -(10+ ) W,O -(10+) -(10+)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/165,Manafarsar,1367,622,88,inhabited,"622(88) . PO) -(5-10) T,W,O -(5-10) -(5-10)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/166,Dheerdan,4053,538,80,inhabited,"538(80) P(I) PHS(I) T,W -(-5) -(10+)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/167,Pachra @ Amarpura,4533,957,139,inhabited,"957(139) P(I)M(I)AC(I) -(5-10) T,W -(5-10) BS",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/168,Dhani Pandusar,3304,1191,140,inhabited,"1,191(140) P(l)AC(I) -(5-10) T,W,TK,O -(5-10) BS",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/169,Rajasar @ Karnisar,5216,1462,204,inhabited,"1,462(204) P(l)AC(I) 0(1) T,W'TK PO BS",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/170,Chhatasar,3170,531,61,inhabited,"531(61) P(I) -(10+) T,W,TK,O -(5-10) -(5-10)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
2/2/171,Kagasar,2328,652,86,inhabited,"652(86) P(I) -(10+) T,W -(5-10) -(5-10)",168,,"survives in Lunkaransar (2001/2011) - matched by name, verify spelling"
