row_type,place_id,name_hi,name_en,place_kind,confidence,linked_old_villages,evidence,evidence_urls,census2011_code,lgd_village_code,subdistrict_lgd_2026,block_lgd_2026,gram_panchayat_lgd,gp_lgd_code,lgd_name,lgd_effective_date,source_lgd,census2011_name,tehsil_2011,population_2011,households_2011,avg_hh_size,sc_pct,st_pct,sex_ratio_f_per_1000m,child_0_6_pct,literacy_pct_total,literacy_pct_male,literacy_pct_female,main_workers,marginal_workers,work_participation_pct,main_share_of_workers_pct,female_work_participation_pct,cultivators_pct_of_main,agri_labourers_pct_of_main,other_workers_pct_of_main,source_pca,area_ha,vd_school_primary,vd_school_middle,vd_school_secondary,vd_school_sr_secondary,vd_college_arts_sci_com,vd_iti_vocational,vd_chc,vd_phc,vd_phs_subcentre,vd_dispensary,vd_veterinary_hospital,vd_water_tap,vd_water_handpump,vd_water_tubewell,vd_water_canal,vd_water_tank_pond,vd_post_office,vd_mobile_coverage,vd_bus_service,vd_road_state_highway,vd_road_major_district,vd_road_pucca,vd_bank,vd_atm,vd_agri_credit_society,vd_shg,vd_pds_shop,vd_mandi,vd_weekly_haat,vd_anganwadi,vd_asha,vd_public_library,vd_power_domestic,vd_power_agri,vd_nearest_town,vd_nearest_town_distance_code,vd_net_sown_ha,vd_irrigated_ha,vd_canal_irrigated_ha,vd_culturable_waste_ha,source_vd,tehsil_rural_literacy_pct_male,tehsil_rural_literacy_pct_female,tehsil_rural_sc_pct,tehsil_rural_main_share_of_workers_pct,tehsil_rural_cultivators_pct_of_main,tehsil_share_villages_school_sr_secondary,tehsil_share_villages_phc,tehsil_share_villages_water_tap,tehsil_share_villages_road_pucca,tehsil_share_villages_bank
place,gajjewala,गज्जेवाला (चक 2 GWSM),"Gajjewala, chak 2 GWSM",court_chak,medium,(HC petitioners),"HC 2017/2022: 'Chak 2 GWSM Village Gajewala, Post Ranjeetpura, Tehsil Bajju'",https://indiankanoon.org/doc/183389720/,069379,69379,Bajju,Bajju Khalsa,Gajjewala,262191,Gajjewala,2025-06-03,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69379 (POST, retrieved 2026-09-26)",Gajjewala,Kolayat,1921,344,5.58,8.5,0.8,870,19.1,66.0,79.9,50.5,779,86,45.0,90.1,46.1,95.4,0.6,3.9,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",3015,2,1,c,c,c,c,c,c,1,c,c,No,Yes,No,Yes,Yes,c,Yes,Yes,c,c,c,c,c,c,c,Yes,c,c,Yes,Yes,c,Yes,Yes,BIKANER,c,19,0,0,2609,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",68.8,42.4,25.4,66.8,68.5,8% of 209 villages,4% of 209 villages,50% of 209 villages,22% of 209 villages,15% of 209 villages
place,raowala,राववाला,"Raowala (Barsalpur, Bajju)",organisation_address,low-medium,(Visthapit Vikas Samiti),"HC 07-05-2025: secretary of MFFR Visthapit Vikas Samiti (regd. Khajuwala) resident of Raowala, Post Barsalpur",https://indiankanoon.org/doc/48956184/,069377,69377,Bajju,Bajju Khalsa,Raowala,262175,Raowala,2025-06-03,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69377 (POST, retrieved 2026-09-26)",Raowala,Kolayat,3086,448,6.89,24.0,0.1,897,19.1,53.3,64.3,41.0,1346,42,45.0,97.0,35.6,80.2,14.5,5.1,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",8104,2,1,1,c,c,c,c,c,1,c,c,Yes,Yes,Yes,Yes,Yes,c,Yes,Yes,c,c,Yes,Yes,Yes,Yes,c,Yes,Yes,c,Yes,Yes,c,Yes,Yes,BIKANER,c,2208,338,0,5315,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",68.8,42.4,25.4,66.8,68.5,8% of 209 villages,4% of 209 villages,50% of 209 villages,22% of 209 villages,15% of 209 villages
place,dehriya,देहरिया,Dehriya / Dehria (Kolayat-Bajju),court_chak,low-medium,"Likhmisar, Manera (land cases)","HC 17-07-2018, 18-09-2018, DB 26-11-2020 (Buddhu Khan): petitioners of village Dehriya in disputes over MFFR-allotted land of Likhmisar/Manera oustees",https://indiankanoon.org/doc/37576754/ ; https://indiankanoon.org/doc/41210648/ ; https://indiankanoon.org/doc/110754845/,069355,69355,Bajju,Bajju Khalsa,Barsalpur,36061,Dehria,2025-06-03,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69355 (POST, retrieved 2026-09-26)",Dehriya,Kolayat,306,52,5.88,28.4,0.3,937,17.0,52.4,68.9,34.4,92,67,52.0,57.9,55.4,76.1,21.7,2.2,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",3437,b,b,c,c,c,c,c,c,b,c,c,No,No,No,Yes,No,c,Yes,b,c,b,b,c,c,c,b,b,c,c,Yes,Yes,b,No,No,BIKANER,c,1852,1593,1593,126,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",68.8,42.4,25.4,66.8,68.5,8% of 209 villages,4% of 209 villages,50% of 209 villages,22% of 209 villages,15% of 209 villages
place,bajju_khalsa,बज्जू खालसा,Bajju,court_chak,medium,(HC 2025),"HC 25-03-2025 Bachna Ram: 16.15 bighas allotted in Bajju in 2001 to a displaced person; Patrika 2025 on 1,400 bigha fake allotments in Kolayat-Bajju in MFFR names",https://indiankanoon.org/doc/194551084/ ; https://www.patrika.com/bikaner-news/fake-allotment-of-1400-bigha-land-in-kolayat-and-bajju-19483920,069446,69446,Bajju,Bajju Khalsa,Bajju,36059,Bajju Khalsa,2025-07-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69446 (POST, retrieved 2026-09-26)",Bajju Khalsa,Kolayat,5441,973,5.59,8.4,0.2,881,16.2,75.5,86.5,62.8,1886,312,40.4,85.8,32.2,57.2,2.3,37.0,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",5251,8,8,3,3,1,c,1,1,1,c,1,Yes,Yes,No,Yes,Yes,c,Yes,Yes,c,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BIKANER,c,3724.2,694,0,1307,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",68.8,42.4,25.4,66.8,68.5,8% of 209 villages,4% of 209 villages,50% of 209 villages,22% of 209 villages,15% of 209 villages
place,jaimalsar,जैमलसर,Jaimalsar (Rajmalsar & Jaimalsar minors),court_chak,low-medium,(54 displaced persons),HC 06-01-1997 (AIR 1997 Raj 71): land allotted to 54 displaced persons became command land in 1987 due to Rajmalsar Minor and Jaimalsar Minor; exact chaks not named,https://indiankanoon.org/doc/38464/,069142,69142,Bikaner,Bikaner,Jaimalsar,36019,Jaimalsar,2005-01-01,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69142 (POST, retrieved 2026-09-26)",Jaimalsar,Bikaner,4179,650,6.43,42.4,0.0,903,17.9,60.0,70.6,48.3,1203,1015,53.1,54.2,50.1,90.9,1.7,6.3,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",12342,2,2,1,c,c,c,c,1,c,1,1,Yes,No,No,No,Yes,c,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,c,Yes,Yes,Yes,Yes,Yes,BIKANER,c,8663,0,0,0,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",73.0,47.5,25.9,72.7,51.4,18% of 108 villages,11% of 108 villages,76% of 108 villages,43% of 108 villages,32% of 108 villages
place,malkisar,मलकीसर,Malkisar (Lunkaransar),revenue_record,medium,Bhojrasar,"Gazette of India 17-07-2019 land schedule: khatedar 'Sa. Bhojrasar Haal Malkisar, Khatedar MFFR'",https://archive.org/details/in.gazette.central.e.2019-07-17.207229,069304,69304,Lunkaransar,Lunkaransar,Kapurisar,36107,Malkisar,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69304 (POST, retrieved 2026-09-26)",Malkisar,Lunkaransar,2065,326,6.33,10.7,0.2,939,19.0,64.3,77.5,50.5,982,317,62.9,75.6,63.8,94.6,3.7,1.7,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",4642,4,1,b,c,c,c,c,c,1,c,c,Yes,No,Yes,Yes,Yes,c,Yes,Yes,b,Yes,Yes,c,c,c,c,Yes,Yes,b,Yes,Yes,c,Yes,Yes,BIKANER,c,3936,755.8,755.8,328,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",73.0,48.6,22.2,70.1,68.0,8% of 125 villages,6% of 125 villages,66% of 125 villages,35% of 125 villages,18% of 125 villages
place,mahajan,महाजन,Mahajan (Lunkaransar),press,medium,Bhojrasar,Patrika 2022: a Bhojrasar family now in Mahajan,https://www.patrika.com/bikaner-news/mahajan-field-firing-range-7893463,069228,69228,Lunkaransar,Lunkaransar,Mahajan,36115,Mahajan,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69228 (POST, retrieved 2026-09-26)",Mahajan,Lunkaransar,7397,1224,6.04,8.7,0.5,907,15.6,58.2,66.6,48.9,2153,1980,55.9,52.1,50.9,68.0,8.8,21.8,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",10852.4,7,4,4,1,1,c,c,1,1,1,1,Yes,No,No,Yes,No,Yes,Yes,Yes,c,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BIKANER,c,4201.8,74.4,74.4,3482.2,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",73.0,48.6,22.2,70.1,68.0,8% of 125 villages,6% of 125 villages,66% of 125 villages,35% of 125 villages,18% of 125 villages
place,dantaur,दंतौर,Dantaur / Dantor,press,low-medium,(not named),"Patrika 2018/2022: displaced settled at Khajuwala, Dantor, Pugal, Mohangarh, Nachna",https://www.patrika.com/bikaner-news/mahajan-firing-range-3673091,069758,69758,Khajuwala,Khajuwala,Dantor,36014,Dantor Barani,2025-05-20,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69758 (POST, retrieved 2026-09-26)",Dantaur,Khajuwala,8389,1587,5.29,23.0,0.3,920,17.2,56.9,67.8,44.8,4022,518,54.1,88.6,52.0,78.2,7.6,11.8,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",28561,5,4,2,1,c,c,c,1,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,BIKANER,c,4402,3189.4,3189.4,10392,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",73.9,50.1,33.2,80.4,69.2,4% of 54 villages,6% of 54 villages,41% of 54 villages,24% of 54 villages,13% of 54 villages
place,poogal,पूगल,Poogal / Pugal,press+academic,medium,(not named),"Patrika 2018/2022; Rahul Ghai fieldwork 2015 (IGNP stage II: MFFR oustees after 1971 war refugees); RLA 13-03-1992: displaced settled in colonisation tehsils Pugal and Chhatargarh (282 villages/chaks, 72 census villages)",https://www.patrika.com/bikaner-news/mahajan-firing-range-3673091 ; http://rahulghai.blogspot.com/2015/12/ ; https://archive.org/details/rajasthanlegislature.assembly9.session6.13-03-1992,069172,69172,Poogal,Poogal,Pugal,36045,Pugal,2025-06-03,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69172 (POST, retrieved 2026-09-26)",Poogal,Poogal,5833,1090,5.35,18.7,0.3,901,17.0,57.6,69.8,44.1,1872,644,43.1,74.4,34.8,58.3,11.8,29.0,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",14044,7,6,5,2,c,,c,1,1,c,1,Yes,Yes,Yes,Yes,Yes,c,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,BIKANER,c,4934,1869.4,1869.4,5565,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",62.2,37.2,27.2,75.8,73.0,5% of 56 villages,9% of 56 villages,43% of 56 villages,23% of 56 villages,12% of 56 villages
place,khajuwala,खाजूवाला,Khajuwala (town; census 2011 name Beriyawali CT),press,medium,(Visthapit Vikas Samiti HQ),Patrika 2018/2022; MFFR Visthapit Vikas Samiti registered at Khajuwala (HC 07-05-2025); Khajuwala is a census town in 2011,https://www.patrika.com/bikaner-news/mahajan-firing-range-3673091 ; https://indiankanoon.org/doc/48956184/,069776,,,,,,,,,Beriyawali (CT),Khajuwala,11831,2255,5.25,15.1,1.1,887,13.8,75.9,85.3,65.4,3589,626,35.6,85.1,17.0,12.4,11.6,72.8,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9,50.1,33.2,80.4,69.2,4% of 54 villages,6% of 54 villages,41% of 54 villages,24% of 54 villages,13% of 54 villages
place,mohangarh_nachna,मोहनगढ़ / नाचना (जैसलमेर),"Mohangarh, Nachna (Jaisalmer)",press,low,(not named),"Patrika 2018/2022 only; outside Bikaner district, not tabulated here",https://www.patrika.com/bikaner-news/mahajan-firing-range-3673091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,damolai_1dlsm,"दामोलाई (1 डीएलएसएम, 465 आरडी मंडी)",Damolai / 1 DLSM (465 RD mandi),service_centre,medium (as service centre),(serves Ramnagar-Krishan Nagar-Lakhansar cluster),"LGD name '1dlsm(Damolai)'; YouTube channel 'Apna 465 Rd' films 'Mandi 465 RD Damolai' dhan (grain) mandi, schools and the Ramnagar/Krishna Nagar/Lakhansar chaks around it; not named in any government resettlement list",https://www.youtube.com/watch?v=gPlCJdVwg50 ; https://www.youtube.com/watch?v=7oiTGDCXqj4 ; https://www.youtube.com/channel/UCadxaC9Fs6iCt-oEPkpVZ9A,069791,69791,Chhatargarh,Poogal,1dlsm,262265,1dlsm(Damolai),2023-10-07,"https://lgdirectory.gov.in/webservices/lgdws/villageHierarachyDetails?villageCode=69791 (POST, retrieved 2026-09-26)",1 Dlsm,Chhatargarh,2411,378,6.38,27.3,0.2,947,17.6,56.4,69.0,42.9,615,344,39.8,64.1,31.2,28.6,28.8,38.5,"Census 2011 PCA town/village (NADA catalog 6292, DDW_PCA0803_2011_MDDS with UI.xlsx) https://censusindia.gov.in/nada/index.php/catalog/6292",2043,2,1,1,1,c,c,c,1,1,c,c,Yes,No,Yes,Yes,Yes,c,Yes,Yes,c,Yes,Yes,Yes,c,Yes,c,Yes,Yes,c,Yes,Yes,c,Yes,Yes,BIKANER,c,904,221.1,221.1,287,"Census 2011 DCHB Bikaner Village Directory, Appendix_VD_0803.xls (NADA catalog 1022/1023; amenities as in 2009) https://censusindia.gov.in/nada/index.php/catalog/1023",63.2,40.4,28.7,71.2,69.6,8% of 64 villages,5% of 64 villages,42% of 64 villages,20% of 64 villages,12% of 64 villages
tehsil_average_rural_2011,tehsil_chhatargarh,,Chhatargarh tehsil (rural total),,,,,,,,,,,,,,,,Chhatargarh,82488,13826,5.97,28.7,0.3,906,17.9,52.4,63.2,40.4,30121,12164,51.3,71.2,47.7,69.6,10.8,18.6,"Census 2011 PCA (NADA 6292), sub-district rural row",,70% of 64 villages,42% of 64 villages,22% of 64 villages,8% of 64 villages,0% of 64 villages,0% of 64 villages,0% of 64 villages,5% of 64 villages,27% of 64 villages,3% of 64 villages,12% of 64 villages,42% of 64 villages,33% of 64 villages,69% of 64 villages,73% of 64 villages,59% of 64 villages,2% of 64 villages,100% of 64 villages,42% of 64 villages,14% of 64 villages,33% of 64 villages,20% of 64 villages,12% of 64 villages,9% of 64 villages,25% of 64 villages,6% of 64 villages,41% of 64 villages,22% of 64 villages,5% of 64 villages,89% of 64 villages,89% of 64 villages,5% of 64 villages,94% of 64 villages,78% of 64 villages,,,,,,,Census 2011 VD Appendix_VD_0803.xls: share of inhabited villages with the facility inside the village,,,,,,,,,,
tehsil_average_rural_2011,tehsil_khajuwala,,Khajuwala tehsil (rural total),,,,,,,,,,,,,,,,Khajuwala,76899,13825,5.56,33.2,1.4,891,15.4,62.7,73.9,50.1,32045,7806,51.8,80.4,47.3,69.2,15.4,13.5,"Census 2011 PCA (NADA 6292), sub-district rural row",,78% of 54 villages,48% of 54 villages,33% of 54 villages,4% of 54 villages,0% of 54 villages,0% of 54 villages,0% of 54 villages,6% of 54 villages,50% of 54 villages,4% of 54 villages,2% of 54 villages,41% of 54 villages,56% of 54 villages,33% of 54 villages,93% of 54 villages,57% of 54 villages,2% of 54 villages,100% of 54 villages,65% of 54 villages,15% of 54 villages,44% of 54 villages,24% of 54 villages,13% of 54 villages,13% of 54 villages,33% of 54 villages,6% of 54 villages,65% of 54 villages,19% of 54 villages,2% of 54 villages,94% of 54 villages,91% of 54 villages,2% of 54 villages,100% of 54 villages,30% of 54 villages,,,,,,,Census 2011 VD Appendix_VD_0803.xls: share of inhabited villages with the facility inside the village,,,,,,,,,,
tehsil_average_rural_2011,tehsil_poogal,,Poogal tehsil (rural total),,,,,,,,,,,,,,,,Poogal,67163,11977,5.61,27.2,0.3,888,18.3,50.5,62.2,37.2,26102,8320,51.3,75.8,48.3,73.0,14.7,11.3,"Census 2011 PCA (NADA 6292), sub-district rural row",,66% of 56 villages,34% of 56 villages,16% of 56 villages,5% of 56 villages,0% of 56 villages,0% of 56 villages,0% of 56 villages,9% of 56 villages,43% of 56 villages,2% of 56 villages,2% of 56 villages,43% of 56 villages,27% of 56 villages,38% of 56 villages,84% of 56 villages,39% of 56 villages,2% of 56 villages,100% of 56 villages,55% of 56 villages,5% of 56 villages,5% of 56 villages,23% of 56 villages,12% of 56 villages,11% of 56 villages,14% of 56 villages,5% of 56 villages,48% of 56 villages,14% of 56 villages,5% of 56 villages,80% of 56 villages,80% of 56 villages,7% of 56 villages,89% of 56 villages,38% of 56 villages,,,,,,,Census 2011 VD Appendix_VD_0803.xls: share of inhabited villages with the facility inside the village,,,,,,,,,,
tehsil_average_rural_2011,tehsil_lunkaransar,,Lunkaransar tehsil (rural total),,,,,,,,,,,,,,,,Lunkaransar,213627,33850,6.31,22.2,0.1,918,17.7,61.3,73.0,48.6,80850,34425,54.0,70.1,50.5,68.0,8.8,21.3,"Census 2011 PCA (NADA 6292), sub-district rural row",,76% of 125 villages,57% of 125 villages,31% of 125 villages,8% of 125 villages,2% of 125 villages,0% of 125 villages,2% of 125 villages,6% of 125 villages,48% of 125 villages,6% of 125 villages,3% of 125 villages,66% of 125 villages,17% of 125 villages,37% of 125 villages,43% of 125 villages,37% of 125 villages,2% of 125 villages,99% of 125 villages,66% of 125 villages,23% of 125 villages,33% of 125 villages,35% of 125 villages,18% of 125 villages,18% of 125 villages,17% of 125 villages,4% of 125 villages,61% of 125 villages,28% of 125 villages,4% of 125 villages,89% of 125 villages,89% of 125 villages,7% of 125 villages,98% of 125 villages,50% of 125 villages,,,,,,,Census 2011 VD Appendix_VD_0803.xls: share of inhabited villages with the facility inside the village,,,,,,,,,,
tehsil_average_rural_2011,tehsil_kolayat,,Kolayat tehsil (rural total),,,,,,,,,,,,,,,,Kolayat,251344,41454,6.06,25.4,0.2,890,18.9,56.4,68.8,42.4,74001,36847,44.1,66.8,37.2,68.5,9.2,20.8,"Census 2011 PCA (NADA 6292), sub-district rural row",,64% of 209 villages,46% of 209 villages,23% of 209 villages,8% of 209 villages,1% of 209 villages,0% of 209 villages,1% of 209 villages,4% of 209 villages,44% of 209 villages,5% of 209 villages,7% of 209 villages,50% of 209 villages,28% of 209 villages,46% of 209 villages,37% of 209 villages,49% of 209 villages,1% of 209 villages,99% of 209 villages,55% of 209 villages,16% of 209 villages,37% of 209 villages,22% of 209 villages,15% of 209 villages,14% of 209 villages,16% of 209 villages,7% of 209 villages,39% of 209 villages,18% of 209 villages,4% of 209 villages,74% of 209 villages,74% of 209 villages,5% of 209 villages,83% of 209 villages,50% of 209 villages,,,,,,,Census 2011 VD Appendix_VD_0803.xls: share of inhabited villages with the facility inside the village,,,,,,,,,,
